Step 77. Reward: 11.969617, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 781.905931. Return so far: 674.203500. Done: 0. Took 262.235563 seconds!
Step 78. Reward: 11.946465, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 780.946623. Return so far: 686.149965. Done: 0. Took 261.845823 seconds!
Step 79. Reward: 11.962142, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 783.238161. Return so far: 698.112107. Done: 0. Took 261.804507 seconds!
Step 80. Reward: 11.959994, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 784.599000. Return so far: 710.072101. Done: 0. Took 260.708649 seconds!
Step 81. Reward: 11.942791, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 787.286808. Return so far: 722.014891. Done: 0. Took 259.821480 seconds!
Step 82. Reward: 11.944600, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 789.471567. Return so far: 733.959491. Done: 0. Took 264.089081 seconds!
Step 83. Reward: 11.901245, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 791.646709. Return so far: 745.860736. Done: 0. Took 263.458522 seconds!
Step 84. Reward: 11.932019, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 793.147202. Return so far: 757.792755. Done: 0. Took 264.456858 seconds!
Step 85. Reward: 12.334941, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 798.018382. Return so far: 770.127696. Done: 0. Took 265.688695 seconds!
Step 86. Reward: 12.701690, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 803.547371. Return so far: 782.829386. Done: 0. Took 264.224626 seconds!
Step 87. Reward: 12.921791, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 804.133125. Return so far: 795.751177. Done: 0. Took 263.856276 seconds!
Step 88. Reward: 12.855857, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 806.110377. Return so far: 808.607034. Done: 0. Took 265.208260 seconds!
Step 89. Reward: 12.858512, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 806.158423. Return so far: 821.465546. Done: 0. Took 266.421433 seconds!
Step 90. Reward: 12.850157, success: None, d_pos: 0.000000, d_rot: 0.000000. Best future reward: 805.935607. Return so far: 834.315703. Done: 0. Took 265.705290 seconds!
